Route ID,Origin Region,Destination Region,Vehicle Type,Service Level,Target Delivery (Days),Priority
RT001,Northern,Northern,Motorcycle,Economy,3–7 Days,Low
RT002,Northern,Northern,Motorcycle,Standard,2–5 Days,Medium
RT003,Northern,Northern,Motorcycle,Next Day,Next Day,High
RT004,Northern,Northern,Motorcycle,Same Day,Same Day,Highest
RT005,Northern,Northern,Van,Economy,3–7 Days,Low
RT006,Northern,Northern,Van,Standard,2–5 Days,Medium
RT007,Northern,Northern,Van,Next Day,Next Day,High
RT008,Northern,Northern,Van,Same Day,Same Day,Highest
RT009,Northern,Northern,1-Ton Lorry,Economy,3–7 Days,Low
RT010,Northern,Northern,1-Ton Lorry,Standard,2–5 Days,Medium
RT011,Northern,Northern,1-Ton Lorry,Next Day,Next Day,High
RT012,Northern,Northern,1-Ton Lorry,Same Day,Same Day,Highest
RT013,Northern,Northern,3-Ton Lorry,Economy,3–7 Days,Low
RT014,Northern,Northern,3-Ton Lorry,Standard,2–5 Days,Medium
RT015,Northern,Northern,3-Ton Lorry,Next Day,Next Day,High
RT016,Northern,Northern,3-Ton Lorry,Same Day,Same Day,Highest
RT017,Northern,Central,Motorcycle,Economy,3–7 Days,Low
RT018,Northern,Central,Motorcycle,Standard,2–5 Days,Medium
RT019,Northern,Central,Motorcycle,Next Day,Next Day,High
RT020,Northern,Central,Motorcycle,Same Day,Same Day,Highest
RT021,Northern,Central,Van,Economy,3–7 Days,Low
RT022,Northern,Central,Van,Standard,2–5 Days,Medium
RT023,Northern,Central,Van,Next Day,Next Day,High
RT024,Northern,Central,Van,Same Day,Same Day,Highest
RT025,Northern,Central,1-Ton Lorry,Economy,3–7 Days,Low
RT026,Northern,Central,1-Ton Lorry,Standard,2–5 Days,Medium
RT027,Northern,Central,1-Ton Lorry,Next Day,Next Day,High
RT028,Northern,Central,1-Ton Lorry,Same Day,Same Day,Highest
RT029,Northern,Central,3-Ton Lorry,Economy,3–7 Days,Low
RT030,Northern,Central,3-Ton Lorry,Standard,2–5 Days,Medium
RT031,Northern,Central,3-Ton Lorry,Next Day,Next Day,High
RT032,Northern,Central,3-Ton Lorry,Same Day,Same Day,Highest
RT033,Northern,Southern,Motorcycle,Economy,3–7 Days,Low
RT034,Northern,Southern,Motorcycle,Standard,2–5 Days,Medium
RT035,Northern,Southern,Motorcycle,Next Day,Next Day,High
RT036,Northern,Southern,Motorcycle,Same Day,Same Day,Highest
RT037,Northern,Southern,Van,Economy,3–7 Days,Low
RT038,Northern,Southern,Van,Standard,2–5 Days,Medium
RT039,Northern,Southern,Van,Next Day,Next Day,High
RT040,Northern,Southern,Van,Same Day,Same Day,Highest
RT041,Northern,Southern,1-Ton Lorry,Economy,3–7 Days,Low
RT042,Northern,Southern,1-Ton Lorry,Standard,2–5 Days,Medium
